node_id,name,layer,headline,summary,morphology_plain,paper_plain,reality_plain
AC-MOON,Moonshot,actor,Keeps its safety posture undisclosed.,Moonshot maintains a non-disclosure posture on safety governance.,Self-imposed and reversible — a private promise that can be dropped.,almost none,minimal
AC-BAI,Baidu,actor,Governed through China's registration gate.,Baidu's governance is realized through China's pre-deployment filing regime.,Controlled upfront — systems cleared before launch.,minimal,partial
AC-01,01.AI,actor,"Signed commitments, thin realization.",01.AI signed international commitments; evidence of realization is limited.,Self-imposed and reversible — a private promise that can be dropped.,almost none,minimal
AC-G42,G42,actor,A national champion fused with the UAE state.,G42 operates as a double act with the UAE state and is among the labs that published a safety policy.,Self-imposed and reversible — a private promise that can be dropped.,minimal,minimal
AC-NAV,Naver,actor,"State-aligned, thin realization.",Naver is state-aligned and among the published-policy labs; realization evidence is limited.,Self-imposed and reversible — a private promise that can be dropped.,minimal,minimal
AC-TEN,Tencent,actor,Safety internals not visible from outside.,Tencent's safety governance cannot be assessed externally.,Closed — cannot be assessed from outside.,,
AC-HUM,HUMAIN,actor,"A Saudi sovereign vehicle, closed to view.",HUMAIN is a Saudi sovereign AI vehicle whose internals are closed by construction.,Closed — cannot be assessed from outside.,,
DP-D1,EU high-risk enterprise deployer,deployer,EU high-risk users face binding duties — and aren't ready.,"Enterprises deploying high-risk AI in the EU face binding obligations from August 2026, but their own readiness lags. The rules are arriving faster than the practice.","Open gap — ambitious on paper, lagging in practice.",minimal,minimal
DP-D2,US HR / employment deployer,deployer,Using AI in hiring can create real legal exposure.,"US employers using AI hiring tools face liability — a court let an age-discrimination case proceed against a vendor on an agent theory, exposing thousands of employer-deployers.","Inversion — stronger in practice than on paper, via courts.",minimal,minimal
DP-D3,Public-administration decision deployer,deployer,Public-sector AI failures stayed hidden until they blew up.,"Government automated-decision systems (Dutch SyRI and benefits scandals, Australia's Robodebt) ran compliant on paper until harm surfaced — a hidden gap.","Hidden gap — compliant on the surface, divergent underneath.",minimal,partial
DP-D4,Financial-services model-risk deployer,deployer,The most mature AI governance is in banks.,Financial-services firms govern AI under decades-old model-risk rules — the highest-realization case in the Atlas. The idea that 'deployers always lag' is false here.,Aligned — rules and practice already match.,substantial,substantial
DP-D5,Consumer-facing AI deployer,deployer,Companies are liable for what their AI tells customers.,Consumer-facing deployers carry output liability — an airline was held responsible for its chatbot's wrong answer.,"Inversion — stronger in practice than on paper, via courts.",almost none,minimal
DP-D6,Chinese registered-services deployer,deployer,Chinese deployers inherit control from the filing regime.,"Deployment in China is gated by which models are officially filed, so deployers inherit upfront control.",Controlled upfront — systems cleared before launch.,partial,partial
VN-ROME,Rome Call (interfaith),legitimacy,A faith-led ethical call that companies signed too.,The Rome Call is an interfaith AI-ethics commitment joined by major tech firms — influence through cultural and corporate endorsement rather than law.,,,
VN-ISLAM,Islamic-civilizational,legitimacy,Islamic-civilizational grounding for AI ethics.,"Rooted in Islamic tradition, this vision grounds AI ethics for Gulf states through religious and sovereign endorsement.",,,
VN-UNESCO,UNESCO,legitimacy,The closest thing to a global AI-ethics agreement.,"UNESCO's 2021 Recommendation is the one near-universal AI-ethics instrument, adopted by ~193 states and diffused through national strategies and readiness assessments.",,,
VN-OECD,OECD / G7,legitimacy,The democracies' shared principles.,"The OECD/G7 principles set a common baseline for democracies, with voluntary reporting layered on top.",,,
VN-COE,Council of Europe,legitimacy,The vision that becomes binding law.,The Council of Europe's Framework Convention turns AI-rights principles into a binding treaty — the EU ratified it in May 2026.,,,
VN-IEEE,IEEE,legitimacy,Ethics from the engineering profession.,"IEEE grounds AI ethics in professional, technical standards — legitimacy from the profession, not states.",,,
VN-GRAV,The three gravities,legitimacy,Three centers of gravity pulling the field.,"Brussels (rights), Washington (markets and security), and Beijing (developmental sovereignty) are the three forces whose pull explains most national choices.",,,
VN-SAFE,AI-safety / frontier community,legitimacy,The frontier-safety community.,"Researchers and labs committed to catastrophic-risk foresight, expressed through summit commitments and lab self-binding — a thin institutional base but real influence.",,,
VN-SOUTH,Global South / development-justice,legitimacy,"For the Global South, exclusion is the real risk.","A development-justice vision holding that the danger that matters is being left out, not extinction — voiced through coalitions and the development agenda.",,,
