source_id,title,publisher,url,pub_date,source_type,topic,reliability,url_status,date_status
S013,Colorado AI Act Amended and Effective Date Delayed,Hunton Andrews Kurth,https://www.hunton.com/privacy-and-cybersecurity-law-blog/colorado-ai-act-amended-and-effective-date-delayed,2025-08-28,law_firm_analysis,Colorado SB 24-205 delay,medium,prior-session-pool,attested
S014,Colorado Postpones Implementation of Colorado AI Act,Akin Gump,https://www.akingump.com/en/insights/ai-law-and-regulation-tracker/colorado-postpones-implementation-of-colorado-ai-act-sb-24-205,2025-08-28,law_firm_analysis,Colorado AI Act delay,medium,this-session-search,attested
S015,NYC Local Law 144: Bias Audit Requirements and Penalties,LegalClarity,https://legalclarity.org/nyc-local-law-144-bias-audit-requirements-and-penalties/,2025-12-01,law_firm_analysis,NYC LL144 enforcement reality,secondary,this-session-search,inferred-FLAG-turn2
S016,President Trump rescinds Biden's AI executive order,A&O Shearman,https://www.aoshearman.com/en/insights/ao-shearman-on-tech/president-trump-rescinds-bidens-ai-executive-order-and-announces-ai-investment,2025-01-23,law_firm_analysis,US EO 14148/14179 rescission,medium,this-session-search,attested
S017,AI: Broad Biden Order Is Withdrawn,Skadden,https://www.skadden.com/insights/publications/executive-briefing/ai-broad-biden-order-is-withdrawn,2025-01-21,law_firm_analysis,US EO rescission,medium,this-session-search,attested
S018,Executive Order 14110,Wikipedia,https://en.wikipedia.org/wiki/Executive_Order_14110,2025-01-20,news,Biden EO 14110 (rescinded) — TERTIARY/evergreen; primary anchor is S016/S017,secondary,prior-session-pool,inferred-FLAG-turn2
S019,President Trump Signs Executive Order Challenging State AI Laws,Paul Hastings,https://www.paulhastings.com/insights/client-alerts/president-trump-signs-executive-order-challenging-state-ai-laws,2025-12-11,law_firm_analysis,US EO 14365 state preemption,medium,this-session-search,attested
S020,State AI laws under federal scrutiny: EO establishing federal AI policy framework,White & Case,https://www.whitecase.com/insight-alert/state-ai-laws-under-federal-scrutiny-key-takeaways-executive-order-establishing,2025-12-12,law_firm_analysis,EO 14365 / state laws survive,medium,this-session-search,attested
S021,Executive Order Targets State AI Regulation Through Federal Preemption,McGuireWoods Consulting,https://mwcllc.com/2026/01/20/executive-order-targets-state-ai-regulation-through-federal-preemption/,2026-01-20,law_firm_analysis,Cruz moratorium defeated 99-1,medium,this-session-search,attested
S022,New Executive Order Aims to Curb State AI Regulation (governors will not stop),Alston & Bird,https://www.alstonconsumerfinance.com/executive-order-state-ai-regulation/,2025-12-19,law_firm_analysis,Governors CA/CO/NY defiance,medium,this-session-search,attested
S023,"The U.S. has 1,200 AI bills and no good test for any of them",Fortune,https://fortune.com/2026/05/15/ai-policy-patchwork-state-federal-regulation-framework-sonnenfeld-marcus/,2026-05-15,news,US preemption / Senate 99-1,secondary,this-session-search,attested
S024,5 Things to Know About Trump's AI Executive Order,Orrick,https://www.orrick.com/en/Insights/2025/12/5-Things-to-Know-About-Trumps-AI-Executive-Order,2025-12-19,law_firm_analysis,36 state AGs oppose moratorium,medium,this-session-search,attested
S025,NA passes first-ever Law on Artificial Intelligence,Voice of Vietnam (VOV),https://english.vov.vn/en/politics/na-passes-first-ever-law-on-artificial-intelligence-post1252919.vov,2025-12-10,official_gov,Vietnam AI Law passage 429/434,high,this-session-search,attested
S026,"Law on Artificial Intelligence 2025, No. 134/2025/QH15",LuatVietnam (Official Gazette translation),https://english.luatvietnam.vn/law-no-134-2025-qh15-dated-december-10-2025-of-the-national-assembly-on-artificial-intelligence-422299-doc1.html,2025-12-10,primary_act,Vietnam AI Law text,high,this-session-search,attested
S027,Vietnam: Artificial Intelligence Law — Foundation and Outlook,Baker McKenzie,https://www.bakermckenzie.com/en/insight/publications/2026/02/vietnam-artificial-intelligence-law-foundation-and-outlook,2026-02-24,law_firm_analysis,Vietnam AI Law / grace periods,medium,this-session-search,attested
S028,Vietnam's draft AI Law: Racing toward regulation with EU inspirations,IAPP,https://iapp.org/news/a/vietnam-s-draft-ai-law-racing-toward-regulation-with-eu-inspirations,2025-10-15,research_report,Vietnam ex-ante legislative signals,medium,this-session-search,attested
S029,Vietnam's New AI Law Balances Innovation Push With Tight State Control,Tech Policy Press,https://www.techpolicy.press/vietnams-new-ai-law-balances-innovation-push-with-tight-state-control/,2026-03-23,news,Vietnam To Lam era of national rise,secondary,this-session-search,attested
S030,Law on Digital Technology Industry (No. 71/2025/QH15),Regulations.AI,https://regulations.ai/regulations/RAI-VN-NA-DIGTEIN-2025,2026-01-06,regulation,Vietnam prior digital-tech pipeline,medium,prior-session-pool,attested
S031,South Korea: Comprehensive AI Legal Framework Takes Effect,Library of Congress,https://www.loc.gov/item/global-legal-monitor/2026-02-20/south-korea-comprehensive-ai-legal-framework-takes-effect,2026-02-20,official_gov,Korea AI Basic Act effective 22 Jan 2026,high,prior-session-pool,attested
S032,Japan's first AI legislation becomes law — no monetary penalties,White & Case,https://www.whitecase.com/insight-alert/japans-first-ai-legislation-becomes-law-focus-promoting-research-and-development-no,2025-05-28,law_firm_analysis,Japan AI Promotion Act,medium,this-session-search,attested
S033,Understanding Japan's AI Promotion Act: An Innovation-First Blueprint,Future of Privacy Forum,https://fpf.org/blog/understanding-japans-ai-promotion-act-an-innovation-first-blueprint-for-ai-regulation/,2025-06-01,research_report,Japan no-penalty model,medium,this-session-search,inferred-FLAG-turn2
S034,"Singapore's Digital & AI Governance: A Pro-Innovation, Framework-Driven Model",Duane Morris,https://blogs.duanemorris.com/duanemorrisandselvam/2026/03/03/singapores-digital-ai-governance-a-pro-innovation-framework-driven-model/,2026-03-03,law_firm_analysis,Singapore deliberate-light,medium,this-session-search,attested
S035,China's Key Developments in AI Governance in 2025,ICLG,https://iclg.com/practice-areas/telecoms-media-and-internet-laws-and-regulations/03-china-s-key-developments-in-artificial-intelligence-governance-in-2025,2026-01-01,law_firm_analysis,China Labeling Measures / CSL,medium,this-session-search,inferred-FLAG-turn2
S036,China's Approach to AI Regulation (2025): Playbook & Updates,Law Office of Yoel Molina,https://www.yoelmolina.com/china%E2%80%99s-approach-to-ai-regulation-the-playbook-the-2025-updates-and-what-it-means-for-businesses,2025-09-01,law_firm_analysis,China registered-services gate,secondary,this-session-search,inferred-FLAG-turn2
S037,India AI Governance Guidelines (MeitY),Lexology,https://www.lexology.com/library/detail.aspx?g=ba06756e-4cad-4ce6-b4c6-ea880deb788c,2025-11-05,law_firm_analysis,India voluntary guidelines,medium,this-session-search,attested
S038,Decoding the India AI Governance Guidelines,Saikrishna & Associates,https://www.saikrishnaassociates.com/decoding-the-india-ai-governance-guidelines/,2025-11-05,law_firm_analysis,India consciously chosen not to regulate,medium,prior-session-pool,attested
S039,Why Australia Abandoned Mandatory AI Guardrails,SoftwareSeni,https://www.softwareseni.com/why-australia-abandoned-mandatory-ai-guardrails-for-technology-neutral-regulation-and-what-it-means/,2025-12-01,news,Australia National AI Plan no mandatory guardrails,secondary,this-session-search,attested
S040,The Demise of the Artificial Intelligence and Data Act (AIDA),McInnes Cooper,https://www.mcinnescooper.com/publications/the-demise-of-the-artificial-intelligence-and-data-act-aida-5-key-lessons/,2025-02-01,law_firm_analysis,Canada AIDA died on prorogation,medium,this-session-search,attested
S041,"Light, tight, right regulation: Minister Evan Solomon",BetaKit,https://betakit.com/light-tight-and-right-regulation-minister-evan-solomon-unpacks-how-canada-plans-to-support-domestic-ai-and-quantum-computing/,2025-06-25,news,Canada no AIDA revival,secondary,this-session-search,attested
S042,New authority established for personal data protection in Mexico (INAI extinction),IAPP,https://iapp.org/news/a/new-authority-established-for-personal-data-protection-in-mexico,2025-03-21,research_report,Mexico INAI dissolution,medium,this-session-search,attested
S043,The Extinction of INAI: Legal and Administrative Implications,Global Law Experts,https://globallawexperts.com/the-extinction-of-inai-legal-and-administrative-implications-for-data-protection-and-transparency-in-mexico/,2025-03-21,law_firm_analysis,Mexico institutional regression,medium,prior-session-pool,attested
S044,Chamber of Deputies schedules vote on AI Legal Framework for May 27,Murayama Advogados (MAFM),https://murayama.com.br/en/2026/05/18/chamber-of-deputies-schedules-vote-on-artificial-intelligence-legal-framework-for-may-27/,2026-05-18,law_firm_analysis,Brazil PL 2338 Chamber vote scheduled,medium,this-session-search,attested
S045,"Brazil AI Regulation: Bill 2338, ANPD, Current Status (2026)",Nathaly Calixto,https://nathalycalixto.com/brazil-ai-regulation-complete-analysis-2026/,2026-05-10,law_firm_analysis,Brazil PL 2338 pending in Chamber,secondary,prior-session-pool,attested
S046,AI laws and regulations in Brazil,CMS Expert Guide,https://cms.law/en/int/expert-guides/ai-regulation-scanner/brazil,2026-02-17,law_firm_analysis,Brazil PL 2338 ANPD residual authority,medium,prior-session-pool,attested
S047,AI laws and regulations in Chile,CMS Expert Guide,https://cms.law/en/int/expert-guides/ai-regulation-scanner/chile,2026-02-17,law_firm_analysis,Chile 16821-19 Chamber-approved Oct 2025,medium,prior-session-pool,attested
S048,Chile's AI Regulation Bill Advances to the Senate,CADE Project,https://cadeproject.org/updates/chiles-artificial-intelligence-regulation-bill-advances-to-the-senate/,2025-10-15,ngo_index,Chile bill to Senate,medium,prior-session-pool,attested
S049,Colombia: Government Submits AI Regulation Bill to Senate (July 2025),Fix the AI GAP,https://fixtheaigap.com/research/policies/2026-03-20-colombia-ai-bill-senate/,2025-07-28,ngo_index,Colombia bill 20+ proposals not enacted,medium,this-session-search,attested
S050,"AI Regulation in Turkey 2025: KVKK, Risks & EU Alignment",Nemko Digital,https://digital.nemko.com/regulations/ai-regulation-in-turkey,2025-09-01,law_firm_analysis,Turkey bill 2/2234 still pending,secondary,this-session-search,inferred-FLAG-turn2
S051,AI in the UAE: Regulatory Landscape and Key Authorities,Latham & Watkins,https://www.lw.com/en/insights/ai-in-the-uae-understanding-the-regulatory-landscape-and-key-authorities,2026-01-01,law_firm_analysis,UAE developmental-promotional / National AI System,medium,prior-session-pool,attested
S052,Saudi Arabia's data protection authority steps up enforcement,IAPP,https://iapp.org/news/a/saudi-arabia-s-data-protection-authority-steps-up-enforcement,2025-12-01,research_report,Saudi PDPL enforcement / SDAIA principles,medium,this-session-search,attested
S053,Kenya: Unveiling of the National AI Strategy 2025-2030,Bowmans,https://bowmanslaw.com/insights/kenya-unveiling-of-the-national-ai-strategy-2025-2030-a-bold-step-into-the-future/,2025-03-27,law_firm_analysis,Kenya AI Strategy nascent,medium,prior-session-pool,attested
S054,Nigeria's National AI Strategy (policy brief),Tunani HQ,https://tunanihq.org/assets/publication/Policy-Brief-NNAIS-Strategy-final.pdf,2026-04-01,research_report,Nigeria NAIS nascent,medium,this-session-search,attested
S055,South Africa National AI Policy Framework,OECD.AI Policy Observatory,https://oecd.ai/en/dashboards/policy-initiatives/south-africa-national-artificial-intelligence-policy-framework,2024-10-01,official_gov,South Africa draft framework,high,this-session-search,inferred-FLAG-turn2
S056,Rwandan government approves National AI Policy,Access Partnership,https://accesspartnership.com/opinion/access-alert-rwandan-government-approves-national-ai-policy/,2023-04-01,research_report,Rwanda nascent / UNESCO RAM,medium,this-session-search,inferred-FLAG-turn2
S057,Egypt National AI Strategy (Second Edition 2025-2030),Regulations.AI,https://regulations.ai/regulations/egypt-2025-01-national-ai-strategy-v2,2025-01-22,regulation,Egypt nascent strategy refresh,medium,this-session-search,attested
S058,"Frontier AI Safety Commitments, AI Seoul Summit 2024",UK Government (gov.uk),https://www.gov.uk/government/publications/frontier-ai-safety-commitments-ai-seoul-summit-2024/frontier-ai-safety-commitments-ai-seoul-summit-2024,2025-02-07,official_gov,Seoul commitments / self-revision clause,high,prior-session-pool,attested
S059,Common Elements of Frontier AI Safety Policies (December 2025 Update),METR,https://metr.org/blog/2025-12-09-common-elements-of-frontier-ai-safety-policies/,2025-12-09,research_report,12 of 20 published frameworks,high,fetch-confirmed-2026-05-31,attested
S060,OpenAI Preparedness Framework 2025: What It Actually Guarantees,Libertify (analysis),https://www.libertify.com/interactive-library/openai-preparedness-framework-2025-safety-analysis/,2026-04-08,research_report,Voluntary framework materially a PDF,secondary,prior-session-pool,attested
S061,Frontier AI Labs Overview (xAI missed deadlines twice),Longterm Wiki,https://www.longtermwiki.com/wiki/E820,2026-04-26,research_report,xAI missed Frontier Safety Policy deadline,secondary,this-session-search,attested
S062,Global Index on Responsible AI (GIRAI),Global Center on AI Governance,https://www.global-index.ai/,2024-08-01,ngo_index,GIRAI magnitude/ranking baseline,medium,this-session-search,inferred-FLAG-turn2
S063,The Global State of Responsible AI: Governance Disparities and Economic Correlations,Telecom Analysis (re-analysis of GIRAI),https://telecomanalysis.net/2025/08/23/the-global-state-of-responsible-ai-an-analysis-of-governance-disparities-and-economic-correlations/,2025-08-23,research_report,GDP-GIRAI R2=0.5656 baseline,secondary,this-session-search,attested
S064,Digital Empires: The Global Battle to Regulate Technology,Oxford University Press (Anu Bradford),https://global.oup.com/academic/product/digital-empires-9780197649268,2023-09-01,academic,Three-models framing baseline,high,this-session-search,attested
S065,From Policy-Practice to Means-Ends Decoupling in Organisations: A Systematic Review and Paths for Future Research,ResearchGate (systematic review),https://www.researchgate.net/publication/358608039_From_Policy-Practice_to_Means-Ends_Decoupling_in_Organisations_A_Systematic_Review_and_Paths_for_Future_Research,2022-02-15,academic,Policy-practice vs means-ends decoupling lineage (reviews Bromley & Powell 2012 — the 2012 seminal paper to be sourced directly in turn 2),secondary,this-session-search,attested
S066,AI Regulation in Latin America: Overview and Emerging Trends,Future of Privacy Forum,https://fpf.org/blog/global/ai-regulation-in-latin-america-overview-and-emerging-trends-in-key-proposals/,2025-08-20,research_report,Brazil/Chile/Colombia institutional comparison,medium,this-session-search,attested
S067,"Three Laws, One Deadline: Chile's AI Reckoning Arrives in 2026",Kiteworks,https://www.kiteworks.com/cybersecurity-risk-management/chile-ai-laws-deadline-2026/,2026-05-01,news,Chile cybersecurity law reaches AI / Worldcoin ruling,secondary,this-session-search,attested
S068,Chile AI Regulation Overview,Regulations.AI,https://regulations.ai/regulations/RAI-CL-NA-SUMMARY-2026,2026-01-06,regulation,Chile secondary rulemaking expected,medium,prior-session-pool,attested
