node_id,source_id,node_confidence,match_basis
ST-MX,SRC-145,high,url/title
AC-MS,SRC-147,high,url/title
ST-ID,SRC-148,high,url/title
ST-CO,SRC-149,high,url/title
ST-NG,SRC-150,high,host
AC-MS,SRC-151,high,url/title
AC-OAI,SRC-152,high,url/title
AC-ANT,SRC-153,medium,context
AC-ANT,SRC-154,high,url/title
AC-META,SRC-155,high,url/title
AC-ANT,SRC-156,medium,context
ST-IN,SRC-158,high,url/title
ST-AE,SRC-159,high,url/title
AC-META,SRC-160,medium,context
AC-ANT,SRC-161,medium,context
ST-US,SRC-162,high,url/title
AC-ANT,SRC-163,medium,context
ST-EU,SRC-169,high,url/title
ST-CL,SRC-170,high,url/title
ST-EU,SRC-171,high,url/title
ST-MX,SRC-173,high,url/title
ST-IL,SRC-174,high,url/title
ST-SA,SRC-175,high,url/title
ST-VN,SRC-176,high,url/title
ST-VN,SRC-177,high,url/title
ST-KE,SRC-179,high,url/title
ST-US,SRC-180,high,url/title
ST-MX,SRC-181,high,url/title
AC-ANT,SRC-182,medium,context
AC-ANT,SRC-183,medium,context
ST-KE,SRC-185,high,url/title
ST-US-CA,SRC-186,high,url/title
ST-EU,SRC-187,high,url/title
ST-CL,SRC-188,high,url/title
ST-AU,SRC-190,high,url/title
AC-ANT,SRC-191,medium,context
ST-US-CO,SRC-192,high,host
ST-US-CA,SRC-193,high,host
ST-US-CA,SRC-194,high,url/title
ST-IN,SRC-195,high,url/title
ST-KE,SRC-196,high,url/title
ST-NG,SRC-197,high,url/title
ST-VN,SRC-198,high,url/title
VN-SAFE,SRC-199,high,host
VN-SAFE,SRC-200,high,host
VN-SAFE,SRC-201,high,host
VN-SAFE,SRC-202,high,host
VN-SAFE,SRC-203,high,host
VN-SAFE,SRC-204,high,host
VN-SAFE,SRC-205,high,host
VN-SAFE,SRC-206,high,host
VN-SAFE,SRC-207,high,host
VN-SAFE,SRC-208,high,host
VN-SAFE,SRC-209,high,host
VN-SAFE,SRC-210,high,host
VN-SAFE,SRC-211,high,host
VN-SAFE,SRC-212,high,host
VN-SAFE,SRC-213,high,host
VN-SAFE,SRC-214,high,host
VN-SAFE,SRC-215,high,host
ST-KE,SRC-216,high,url/title
VN-SAFE,SRC-217,high,title
VN-UNESCO,SRC-218,high,url/title
AC-ANT,SRC-219,medium,context
ST-US,SRC-220,high,url/title
ST-BR,SRC-221,high,url/title
ST-MX,SRC-222,high,url/title
ST-MX,SRC-223,high,url/title
ST-NG,SRC-224,high,host
VN-OECD,SRC-227,high,host
VN-OECD,SRC-228,high,host
VN-OECD,SRC-229,high,host
VN-OECD,SRC-230,high,host
VN-OECD,SRC-231,high,host
ST-US-CO,SRC-232,high,url/title
AC-OAI,SRC-234,high,host
AC-OAI,SRC-235,high,host
AC-OAI,SRC-236,high,host
ST-NG,SRC-237,medium,context
ST-NG,SRC-238,high,url/title
ST-CH,SRC-239,high,url/title
ST-ZA,SRC-240,high,url/title
ST-US,SRC-241,medium,context
ST-SG,SRC-243,high,url/title
ST-AE,SRC-244,high,url/title
ST-ID,SRC-245,high,url/title
AC-OAI,SRC-247,high,url/title
ST-IN,SRC-248,medium,context
ST-ID,SRC-249,high,url/title
ST-CL,SRC-250,medium,context
ST-CL,SRC-251,high,url/title
ST-ID,SRC-252,high,url/title
ST-IL,SRC-253,high,url/title
ST-NG,SRC-257,high,url/title
ST-VN,SRC-258,high,url/title
AC-ANT,SRC-259,medium,context
ST-AU,SRC-260,high,url/title
ST-CO,SRC-261,high,url/title
ST-EG,SRC-262,high,url/title
ST-ID,SRC-263,high,url/title
ST-ID,SRC-264,high,url/title
ST-US,SRC-265,high,url/title
ST-NG,SRC-266,high,url/title
ST-NG,SRC-267,high,url/title
VN-OECD,SRC-268,high,url/title
ST-RU,SRC-269,high,url/title
ST-TR,SRC-270,high,url/title
ST-AU,SRC-271,high,url/title
ST-EU,SRC-273,high,url/title
ST-AU,SRC-274,high,url/title
ST-EU,SRC-276,high,url/title
ST-SG,SRC-277,high,url/title
ST-IN,SRC-279,high,host
AC-OAI,SRC-280,medium,context
ST-AU,SRC-281,high,url/title
ST-KE,SRC-282,high,url/title
ST-SA,SRC-283,high,url/title
AC-OAI,SRC-284,high,url/title
AC-ANT,SRC-286,medium,context
AC-ANT,SRC-287,medium,context
ST-IN,SRC-290,high,url/title
VN-OECD,SRC-291,high,host
ST-AE,SRC-293,high,url/title
ST-EU,SRC-294,high,url/title
AC-ANT,SRC-296,medium,context
ST-ID,SRC-298,high,url/title
ST-ZA,SRC-301,high,url/title
ST-CH,SRC-302,high,host
ST-KE,SRC-303,high,url/title
AC-ANT,SRC-304,medium,context
ST-BR,SRC-305,high,url/title
ST-US-CO,SRC-307,high,url/title
AC-ANT,SRC-308,medium,context
ST-US,SRC-309,high,url/title
ST-US,SRC-310,high,url/title
ST-CN,SRC-312,high,url/title
ST-US,SRC-313,high,url/title
ST-SA,SRC-314,high,url/title
ST-AU,SRC-315,high,url/title
ST-VN,SRC-317,high,url/title
ST-CH,SRC-318,high,host
VN-SAFE,SRC-320,high,title
ST-US-CA,SRC-321,high,url/title
ST-CO,SRC-322,high,url/title
ST-CL,SRC-324,medium,context
ST-IL,SRC-326,high,url/title
AC-ANT,SRC-327,medium,context
ST-CN,SRC-328,high,url/title
AC-MS,SRC-329,high,url/title
ST-SG,SRC-330,high,url/title
AC-OAI,SRC-331,high,url/title
AC-MOON,SRC-333,high,url/title
ST-SA,SRC-334,high,url/title
AC-MS,SRC-335,high,url/title
AC-MS,SRC-336,high,url/title
AC-OAI,SRC-338,high,url/title
VN-COE,SRC-339,high,host
VN-COE,SRC-340,high,host
VN-COE,SRC-341,high,host
ST-EU,SRC-342,high,host
ST-AU,SRC-343,high,url/title
ST-RU,SRC-345,high,url/title
ST-EU,SRC-346,high,url/title
ST-KE,SRC-347,high,url/title
ST-EU,SRC-348,high,url/title
ST-ZA,SRC-349,high,host
ST-BR,SRC-350,high,url/title
AC-MS,SRC-351,high,url/title
AC-ANT,SRC-352,medium,context
ST-EU,SRC-354,high,host
AC-ANT,SRC-355,high,url/title
ST-EU,SRC-357,high,url/title
VN-ROME,SRC-358,high,url/title
VN-ROME,SRC-359,high,url/title
ST-ZA,SRC-360,high,url/title
AC-MS,SRC-361,high,url/title
VN-SAFE,SRC-364,high,title
VN-SAFE,SRC-365,high,url/title
ST-US,SRC-366,high,url/title
AC-ANT,SRC-367,medium,context
AC-ANT,SRC-368,medium,context
AC-ANT,SRC-369,medium,context
AC-ANT,SRC-370,medium,context
AC-ANT,SRC-371,medium,context
ST-US-CA,SRC-372,high,host
ST-IL,SRC-373,high,url/title
VN-SAFE,SRC-374,high,title
VN-SAFE,SRC-375,high,title
VN-COE,SRC-377,high,url/title
ST-MX,SRC-378,high,url/title
ST-US-CO,SRC-379,high,url/title
ST-AU,SRC-380,high,host
ST-ID,SRC-381,high,url/title
ST-US-CO,SRC-382,high,url/title
ST-US,SRC-384,high,url/title
ST-SG,SRC-385,high,host
ST-SG,SRC-386,high,host
AC-OAI,SRC-387,high,url/title
VN-SAFE,SRC-388,high,title
AC-ANT,SRC-390,medium,context
ST-SG,SRC-391,medium,context
ST-CL,SRC-393,high,url/title
ST-KR,SRC-394,high,url/title
ST-US,SRC-395,high,url/title
ST-US-CA,SRC-396,medium,context
AC-ANT,SRC-397,medium,context
ST-US-CO,SRC-399,medium,context
ST-CN,SRC-400,high,url/title
ST-US,SRC-401,high,url/title
ST-CH,SRC-402,high,url/title
ST-BR,SRC-405,high,url/title
ST-AE,SRC-406,high,url/title
ST-VN,SRC-411,high,url/title
AC-OAI,SRC-412,high,url/title
ST-BR,SRC-414,high,url/title
ST-KR,SRC-415,high,url/title
AC-ANT,SRC-416,medium,context
ST-AE,SRC-417,high,url/title
ST-EU,SRC-418,high,url/title
ST-IN,SRC-421,high,url/title
ST-ZA,SRC-423,high,url/title
ST-SG,SRC-425,high,url/title
AC-OAI,SRC-426,high,url/title
AC-ANT,SRC-427,medium,context
ST-IL,SRC-428,high,url/title
ST-EU,SRC-429,high,url/title
VN-OECD,SRC-430,high,url/title
VN-UNESCO,SRC-431,high,url/title
ST-VN,SRC-432,high,url/title
ST-US,SRC-433,high,url/title
ST-US,SRC-434,high,host
ST-US,SRC-435,high,url/title
ST-IN,SRC-436,high,host
ST-SG,SRC-437,high,url/title
ST-SA,SRC-438,high,url/title
ST-IN,SRC-439,high,host
ST-IR,SRC-440,high,url/title
ST-MX,SRC-441,high,url/title
AC-ANT,SRC-442,medium,context
AC-ANT,SRC-443,medium,context
ST-NG,SRC-444,high,url/title
VN-ROME,SRC-447,high,host
VN-ROME,SRC-448,high,host
VN-ROME,SRC-449,high,host
ST-IN,SRC-450,high,url/title
ST-MX,SRC-452,high,url/title
ST-CH,SRC-453,high,host
ST-IN,SRC-454,high,url/title
AC-ANT,SRC-455,medium,context
AC-ANT,SRC-456,medium,context
ST-BR,SRC-458,high,url/title
ST-CH,SRC-459,high,url/title
AC-ANT,SRC-460,medium,context
ST-AU,SRC-462,high,url/title
VN-UNESCO,SRC-463,high,url/title
ST-AU,SRC-464,high,url/title
AC-ANT,SRC-466,medium,context
ST-VN,SRC-468,high,url/title
ST-RU,SRC-469,high,url/title
ST-VN,SRC-470,high,url/title
ST-US,SRC-471,high,host
ST-US-CO,SRC-473,high,url/title
ST-RU,SRC-474,high,url/title
ST-AE,SRC-475,high,url/title
ST-CN,SRC-477,high,url/title
ST-AE,SRC-478,high,url/title
VN-UNESCO,SRC-480,high,host
VN-UNESCO,SRC-481,high,host
VN-UNESCO,SRC-482,high,host
VN-UNESCO,SRC-483,high,host
VN-UNESCO,SRC-484,high,host
VN-UNESCO,SRC-485,high,host
VN-UNESCO,SRC-486,high,host
VN-ROME,SRC-487,high,url/title
ST-EU,SRC-488,high,url/title
ST-VN,SRC-490,high,url/title
ST-MX,SRC-492,high,url/title
ST-US,SRC-493,high,url/title
ST-CN,SRC-494,high,url/title
ST-IL,SRC-495,high,url/title
ST-KE,SRC-496,high,url/title
ST-CH,SRC-497,high,url/title
ST-US,SRC-498,high,host
ST-US,SRC-500,high,url/title
AC-XAI,SRC-501,high,url/title
